Vivado Simulator 2018.2
Time resolution is 1 ps
T =   30.0 ps | State = RESET  | Next State = FETCH  | PC = 00000000 | IR = 00000000
T =  260.0 ps | State = WB_alu | Next State = FETCH  | PC = 0040008c | IR = 0022182a
T =  270.0 ps | State = FETCH  | Next State = DECODE | PC = 0040008c | IR = 0022182a
T =  280.0 ps | State = DECODE | Next State = R-Type | PC = 00400090 | IR = 14600002
T =  291.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00400090 | IR = 14600002
T =  300.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00400090 | IR = 14600002
T =  310.0 ps | State = FETCH  | Next State = DECODE | PC = 00400098 | IR = 14600002
T =  320.0 ps | State = DECODE | Next State =I/J-Type| PC = 0040009c | IR = 200400c0
T =  331.0 ps | State = ADDI   | Next State = WB_imm | PC = 0040009c | IR = 200400c0
T =  340.0 ps | State = WB_imm | Next State = FETCH  | PC = 0040009c | IR = 200400c0
T =  350.0 ps | State = FETCH  | Next State = DECODE | PC = 0040009c | IR = 200400c0
T =  360.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000a0 | IR = ade40000
T =  370.0 ps | State = SW     | Next State = WB_mem | PC = 004000a0 | IR = ade40000
T =  380.0 ps | State = WB_mem | Next State = FETCH  | PC = 004000a0 | IR = ade40000
T =  390.0 ps | State = FETCH  | Next State = DECODE | PC = 004000a0 | IR = ade40000
T =  400.0 ps | State = DECODE | Next State = R-Type | PC = 004000a4 | IR = 0041182b
T =  411.0 ps | State = SLTU   | Next State = WB_alu | PC = 004000a4 | IR = 0041182b
T =  420.0 ps | State = WB_alu | Next State = FETCH  | PC = 004000a4 | IR = 0041182b
T =  430.0 ps | State = FETCH  | Next State = DECODE | PC = 004000a4 | IR = 0041182b
T =  440.0 ps | State = DECODE | Next State = R-Type | PC = 004000a8 | IR = 14600002
T =  451.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 004000a8 | IR = 14600002
T =  460.0 ps | State = BNE_2  | Next State = FETCH  | PC = 004000a8 | IR = 14600002
T =  470.0 ps | State = FETCH  | Next State = DECODE | PC = 004000b0 | IR = 14600002
T =  480.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000b4 | IR = 200500c4
T =  491.0 ps | State = ADDI   | Next State = WB_imm | PC = 004000b4 | IR = 200500c4
T =  500.0 ps | State = WB_imm | Next State = FETCH  | PC = 004000b4 | IR = 200500c4
T =  510.0 ps | State = FETCH  | Next State = DECODE | PC = 004000b4 | IR = 200500c4
T =  520.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000b8 | IR = ade50004
T =  530.0 ps | State = SW     | Next State = WB_mem | PC = 004000b8 | IR = ade50004
T =  540.0 ps | State = WB_mem | Next State = FETCH  | PC = 004000b8 | IR = ade50004
T =  550.0 ps | State = FETCH  | Next State = DECODE | PC = 004000b8 | IR = ade50004
T =  560.0 ps | State = DECODE | Next State = R-Type | PC = 004000bc | IR = 0041182a
T =  571.0 ps | State = SLT    | Next State = WB_alu | PC = 004000bc | IR = 0041182a
T =  580.0 ps | State = WB_alu | Next State = FETCH  | PC = 004000bc | IR = 0041182a
T =  590.0 ps | State = FETCH  | Next State = DECODE | PC = 004000bc | IR = 0041182a
T =  600.0 ps | State = DECODE | Next State = R-Type | PC = 004000c0 | IR = 10600002
T =  611.0 ps | State = BEQ_1  | Next State = BEQ_2  | PC = 004000c0 | IR = 10600002
T =  620.0 ps | State = BEQ_2  | Next State = FETCH  | PC = 004000c0 | IR = 10600002
T =  630.0 ps | State = FETCH  | Next State = DECODE | PC = 004000c8 | IR = 10600002
T =  640.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000cc | IR = 200600c8
T =  651.0 ps | State = ADDI   | Next State = WB_imm | PC = 004000cc | IR = 200600c8
T =  660.0 ps | State = WB_imm | Next State = FETCH  | PC = 004000cc | IR = 200600c8
T =  670.0 ps | State = FETCH  | Next State = DECODE | PC = 004000cc | IR = 200600c8
T =  680.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000d0 | IR = ade60008
T =  690.0 ps | State = SW     | Next State = WB_mem | PC = 004000d0 | IR = ade60008
T =  700.0 ps | State = WB_mem | Next State = FETCH  | PC = 004000d0 | IR = ade60008
T =  710.0 ps | State = FETCH  | Next State = DECODE | PC = 004000d0 | IR = ade60008
T =  720.0 ps | State = DECODE | Next State = R-Type | PC = 004000d4 | IR = 0022182b
T =  731.0 ps | State = SLTU   | Next State = WB_alu | PC = 004000d4 | IR = 0022182b
T =  740.0 ps | State = WB_alu | Next State = FETCH  | PC = 004000d4 | IR = 0022182b
T =  750.0 ps | State = FETCH  | Next State = DECODE | PC = 004000d4 | IR = 0022182b
T =  760.0 ps | State = DECODE | Next State = R-Type | PC = 004000d8 | IR = 10600002
T =  771.0 ps | State = BEQ_1  | Next State = BEQ_2  | PC = 004000d8 | IR = 10600002
T =  780.0 ps | State = BEQ_2  | Next State = FETCH  | PC = 004000d8 | IR = 10600002
T =  790.0 ps | State = FETCH  | Next State = DECODE | PC = 004000e0 | IR = 10600002
T =  800.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000e4 | IR = 200700cc
T =  811.0 ps | State = ADDI   | Next State = WB_imm | PC = 004000e4 | IR = 200700cc
T =  820.0 ps | State = WB_imm | Next State = FETCH  | PC = 004000e4 | IR = 200700cc
T =  830.0 ps | State = FETCH  | Next State = DECODE | PC = 004000e4 | IR = 200700cc
T =  840.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000e8 | IR = ade7000c
T =  850.0 ps | State = SW     | Next State = WB_mem | PC = 004000e8 | IR = ade7000c
T =  860.0 ps | State = WB_mem | Next State = FETCH  | PC = 004000e8 | IR = ade7000c
T =  870.0 ps | State = FETCH  | Next State = DECODE | PC = 004000e8 | IR = ade7000c
T =  880.0 ps | State = DECODE | Next State = R-Type | PC = 004000ec | IR = 03e00008
T =  890.0 ps | State = JR_1   | Next State = JR_2   | PC = 004000ec | IR = 03e00008
T =  900.0 ps | State = JR_2   | Next State = FETCH  | PC = 004000ec | IR = 03e00008
T =  910.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 03e00008
T =  920.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000018 | IR = 3c0d7788
T =  931.0 ps | State = LUI    | Next State = WB_imm | PC = 00000018 | IR = 3c0d7788
T =  940.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000018 | IR = 3c0d7788
T =  950.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 3c0d7788
T =  960.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = 35ad7788
T =  971.0 ps | State = ORI    | Next State = WB_imm | PC = 0000001c | IR = 35ad7788
T =  980.0 ps | State = WB_imm | Next State = FETCH  | PC = 0000001c | IR = 35ad7788
T =  990.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = 35ad7788
T = 1000.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 3c0c8877
T = 1011.0 ps | State = LUI    | Next State = WB_imm | PC = 00000020 | IR = 3c0c8877
T = 1020.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 3c0c8877
T = 1030.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 3c0c8877
T = 1040.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 358c8877
T = 1051.0 ps | State = ORI    | Next State = WB_imm | PC = 00000024 | IR = 358c8877
T = 1060.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000024 | IR = 358c8877
T = 1070.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 358c8877
T = 1080.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000028 | IR = 3c0bffff
T = 1091.0 ps | State = LUI    | Next State = WB_imm | PC = 00000028 | IR = 3c0bffff
T = 1100.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000028 | IR = 3c0bffff
T = 1110.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 3c0bffff
T = 1120.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000002c | IR = 356bffff
T = 1131.0 ps | State = ORI    | Next State = WB_imm | PC = 0000002c | IR = 356bffff
T = 1140.0 ps | State = WB_imm | Next State = FETCH  | PC = 0000002c | IR = 356bffff
T = 1150.0 ps | State = FETCH  | Next State = DECODE | PC = 0000002c | IR = 356bffff
T = 1160.0 ps | State = DECODE | Next State = R-Type | PC = 00000030 | IR = 01ac5026
T = 1171.0 ps | State = XOR    | Next State = WB_alu | PC = 00000030 | IR = 01ac5026
T = 1180.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000030 | IR = 01ac5026
T = 1190.0 ps | State = FETCH  | Next State = DECODE | PC = 00000030 | IR = 01ac5026
T = 1200.0 ps | State = DECODE | Next State = R-Type | PC = 00000034 | IR = 114b0002
T = 1211.0 ps | State = BEQ_1  | Next State = BEQ_2  | PC = 00000034 | IR = 114b0002
T = 1220.0 ps | State = BEQ_2  | Next State = FETCH  | PC = 00000034 | IR = 114b0002
T = 1230.0 ps | State = FETCH  | Next State = DECODE | PC = 0000003c | IR = 114b0002
T = 1240.0 ps | State = DECODE | Next State = R-Type | PC = 00000040 | IR = 01ac4824
T = 1251.0 ps | State = AND    | Next State = WB_alu | PC = 00000040 | IR = 01ac4824
T = 1260.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000040 | IR = 01ac4824
T = 1270.0 ps | State = FETCH  | Next State = DECODE | PC = 00000040 | IR = 01ac4824
T = 1280.0 ps | State = DECODE | Next State = R-Type | PC = 00000044 | IR = 11200002
T = 1291.0 ps | State = BEQ_1  | Next State = BEQ_2  | PC = 00000044 | IR = 11200002
T = 1300.0 ps | State = BEQ_2  | Next State = FETCH  | PC = 00000044 | IR = 11200002
T = 1310.0 ps | State = FETCH  | Next State = DECODE | PC = 0000004c | IR = 11200002
T = 1320.0 ps | State = DECODE | Next State = R-Type | PC = 00000050 | IR = 01e24825
T = 1331.0 ps | State = OR     | Next State = WB_alu | PC = 00000050 | IR = 01e24825
T = 1340.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000050 | IR = 01e24825
T = 1350.0 ps | State = FETCH  | Next State = DECODE | PC = 00000050 | IR = 01e24825
T = 1360.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000054 | IR = 3c081001
T = 1371.0 ps | State = LUI    | Next State = WB_imm | PC = 00000054 | IR = 3c081001
T = 1380.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000054 | IR = 3c081001
T = 1390.0 ps | State = FETCH  | Next State = DECODE | PC = 00000054 | IR = 3c081001
T = 1400.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000058 | IR = 350800ca
T = 1411.0 ps | State = ORI    | Next State = WB_imm | PC = 00000058 | IR = 350800ca
T = 1420.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000058 | IR = 350800ca
T = 1430.0 ps | State = FETCH  | Next State = DECODE | PC = 00000058 | IR = 350800ca
T = 1440.0 ps | State = DECODE | Next State = R-Type | PC = 0000005c | IR = 11090002
T = 1451.0 ps | State = BEQ_1  | Next State = BEQ_2  | PC = 0000005c | IR = 11090002
T = 1460.0 ps | State = BEQ_2  | Next State = FETCH  | PC = 0000005c | IR = 11090002
T = 1470.0 ps | State = FETCH  | Next State = DECODE | PC = 00000064 | IR = 11090002
T = 1480.0 ps | State = DECODE | Next State = R-Type | PC = 00000068 | IR = 01e24827
T = 1491.0 ps | State = NOR    | Next State = WB_alu | PC = 00000068 | IR = 01e24827
T = 1500.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000068 | IR = 01e24827
T = 1510.0 ps | State = FETCH  | Next State = DECODE | PC = 00000068 | IR = 01e24827
T = 1520.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000006c | IR = 3c08effe
T = 1531.0 ps | State = LUI    | Next State = WB_imm | PC = 0000006c | IR = 3c08effe
T = 1540.0 ps | State = WB_imm | Next State = FETCH  | PC = 0000006c | IR = 3c08effe
T = 1550.0 ps | State = FETCH  | Next State = DECODE | PC = 0000006c | IR = 3c08effe
T = 1560.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000070 | IR = 3508ff35
T = 1571.0 ps | State = ORI    | Next State = WB_imm | PC = 00000070 | IR = 3508ff35
T = 1580.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000070 | IR = 3508ff35
T = 1590.0 ps | State = FETCH  | Next State = DECODE | PC = 00000070 | IR = 3508ff35
T = 1600.0 ps | State = DECODE | Next State = R-Type | PC = 00000074 | IR = 11090002
T = 1611.0 ps | State = BEQ_1  | Next State = BEQ_2  | PC = 00000074 | IR = 11090002
T = 1620.0 ps | State = BEQ_2  | Next State = FETCH  | PC = 00000074 | IR = 11090002
T = 1630.0 ps | State = FETCH  | Next State = DECODE | PC = 0000007c | IR = 11090002
T = 1640.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000080 | IR = ade80010
T = 1650.0 ps | State = SW     | Next State = WB_mem | PC = 00000080 | IR = ade80010
T = 1660.0 ps | State = WB_mem | Next State = FETCH  | PC = 00000080 | IR = ade80010
T = 1670.0 ps | State = FETCH  | Next State = DECODE | PC = 00000080 | IR = ade80010
T = 1680.0 ps | State = DECODE | Next State = R-Type | PC = 00000084 | IR = 00007020
T = 1691.0 ps | State = ADD    | Next State = WB_alu | PC = 00000084 | IR = 00007020
T = 1700.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000084 | IR = 00007020
T = 1710.0 ps | State = FETCH  | Next State = DECODE | PC = 00000084 | IR = 00007020
T = 1720.0 ps | State = DECODE | Next State = R-Type | PC = 00000088 | IR = 0000000d
BREAK INSTRUCTION FETCHED 1725.0 ps
 
D i s p l a y i n g   C o n t e n t s   o f   R e g f i l e
R [  0 ]   =   00000000    |   R [         16 ]   =   xxxxxxxx
R [  1 ]   =   ffffff8a    |   R [         17 ]   =   xxxxxxxx
R [  2 ]   =   0000008a    |   R [         18 ]   =   xxxxxxxx
R [  3 ]   =   00000000    |   R [         19 ]   =   xxxxxxxx
R [  4 ]   =   000000c0    |   R [         20 ]   =   xxxxxxxx
R [  5 ]   =   000000c4    |   R [         21 ]   =   xxxxxxxx
R [  6 ]   =   000000c8    |   R [         22 ]   =   xxxxxxxx
R [  7 ]   =   000000cc    |   R [         23 ]   =   xxxxxxxx
R [  8 ]   =   effeff35    |   R [         24 ]   =   xxxxxxxx
R [  9 ]   =   effeff35    |   R [         25 ]   =   xxxxxxxx
R [ 10 ]   =   ffffffff    |   R [         26 ]   =   xxxxxxxx
R [ 11 ]   =   ffffffff    |   R [         27 ]   =   xxxxxxxx
R [ 12 ]   =   88778877    |   R [         28 ]   =   xxxxxxxx
R [ 13 ]   =   77887788    |   R [         29 ]   =   00000000
R [ 14 ]   =   00000000    |   R [         30 ]   =   xxxxxxxx
R [ 15 ]   =   100100c0    |   R [         31 ]   =   00000014
 
D i s p l a y i n g   C o n t e n t s   o f   D a t a   M e m o r y
d M e m [ 0c0 ]   =   0x000000c0
d M e m [ 0c4 ]   =   0x000000c4
d M e m [ 0c8 ]   =   0x000000c8
d M e m [ 0cc ]   =   0x000000cc
d M e m [ 0d0 ]   =   0xeffeff35
d M e m [ 0d4 ]   =   0xxxxxxxxx
d M e m [ 0d8 ]   =   0xxxxxxxxx
d M e m [ 0dc ]   =   0xxxxxxxxx
d M e m [ 0e0 ]   =   0xxxxxxxxx
d M e m [ 0e4 ]   =   0xxxxxxxxx
d M e m [ 0e8 ]   =   0xxxxxxxxx
d M e m [ 0ec ]   =   0xxxxxxxxx
d M e m [ 0f0 ]   =   0xxxxxxxxx
d M e m [ 0f4 ]   =   0xxxxxxxxx
d M e m [ 0f8 ]   =   0xxxxxxxxx
d M e m [ 0fc ]   =   0xxxxxxxxx
$finish called at time : 1730 ns : File "C:/Users/Jesus Luciano/Desktop/MIPS_CPU/Execution_Unit_modified/Execution_Unit.srcs/sources_1/new/MCU.v" Line 929
