Vivado Simulator 2018.2
Time resolution is 1 ps
T =   30.0 ps | State = RESET  | Next State = FETCH  | PC = 00000000 | IR = 00000000
T =  260.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000018 | IR = 8de10004
T =  270.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000018 | IR = 8de10004
T =  280.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000018 | IR = 8de10004
T =  290.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 8de10004
T =  300.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = 8de20008
T =  310.0 ps | State = LW_1   | Next State = LW_2   | PC = 0000001c | IR = 8de20008
T =  320.0 ps | State = LW_2   | Next State = WB_lw   | PC = 0000001c | IR = 8de20008
T =  330.0 ps | State = WB_lw  | Next State = FETCH  | PC = 0000001c | IR = 8de20008
T =  340.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = 8de20008
T =  350.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 8de3000c
T =  360.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000020 | IR = 8de3000c
T =  370.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000020 | IR = 8de3000c
T =  380.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000020 | IR = 8de3000c
T =  390.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 8de3000c
T =  400.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 8de40010
T =  410.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000024 | IR = 8de40010
T =  420.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000024 | IR = 8de40010
T =  430.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000024 | IR = 8de40010
T =  440.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 8de40010
T =  450.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000028 | IR = 8de50014
T =  460.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000028 | IR = 8de50014
T =  470.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000028 | IR = 8de50014
T =  480.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000028 | IR = 8de50014
T =  490.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 8de50014
T =  500.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000002c | IR = 8de60018
T =  510.0 ps | State = LW_1   | Next State = LW_2   | PC = 0000002c | IR = 8de60018
T =  520.0 ps | State = LW_2   | Next State = WB_lw   | PC = 0000002c | IR = 8de60018
T =  530.0 ps | State = WB_lw  | Next State = FETCH  | PC = 0000002c | IR = 8de60018
T =  540.0 ps | State = FETCH  | Next State = DECODE | PC = 0000002c | IR = 8de60018
T =  550.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000030 | IR = 8de7001c
T =  560.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000030 | IR = 8de7001c
T =  570.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000030 | IR = 8de7001c
T =  580.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000030 | IR = 8de7001c
T =  590.0 ps | State = FETCH  | Next State = DECODE | PC = 00000030 | IR = 8de7001c
T =  600.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000034 | IR = 8de80020
T =  610.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000034 | IR = 8de80020
T =  620.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000034 | IR = 8de80020
T =  630.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000034 | IR = 8de80020
T =  640.0 ps | State = FETCH  | Next State = DECODE | PC = 00000034 | IR = 8de80020
T =  650.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000038 | IR = 8de90024
T =  660.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000038 | IR = 8de90024
T =  670.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000038 | IR = 8de90024
T =  680.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000038 | IR = 8de90024
T =  690.0 ps | State = FETCH  | Next State = DECODE | PC = 00000038 | IR = 8de90024
T =  700.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000003c | IR = 8dea0028
T =  710.0 ps | State = LW_1   | Next State = LW_2   | PC = 0000003c | IR = 8dea0028
T =  720.0 ps | State = LW_2   | Next State = WB_lw   | PC = 0000003c | IR = 8dea0028
T =  730.0 ps | State = WB_lw  | Next State = FETCH  | PC = 0000003c | IR = 8dea0028
T =  740.0 ps | State = FETCH  | Next State = DECODE | PC = 0000003c | IR = 8dea0028
T =  750.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000040 | IR = 8deb002c
T =  760.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000040 | IR = 8deb002c
T =  770.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000040 | IR = 8deb002c
T =  780.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000040 | IR = 8deb002c
T =  790.0 ps | State = FETCH  | Next State = DECODE | PC = 00000040 | IR = 8deb002c
T =  800.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000044 | IR = 8dec0030
T =  810.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000044 | IR = 8dec0030
T =  820.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000044 | IR = 8dec0030
T =  830.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000044 | IR = 8dec0030
T =  840.0 ps | State = FETCH  | Next State = DECODE | PC = 00000044 | IR = 8dec0030
T =  850.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000048 | IR = 8df10000
T =  860.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000048 | IR = 8df10000
T =  870.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000048 | IR = 8df10000
T =  880.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000048 | IR = 8df10000
T =  890.0 ps | State = FETCH  | Next State = DECODE | PC = 00000048 | IR = 8df10000
T =  900.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000004c | IR = add10000
T =  910.0 ps | State = SW     | Next State = WB_mem | PC = 0000004c | IR = add10000
T =  920.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000004c | IR = add10000
T =  930.0 ps | State = FETCH  | Next State = DECODE | PC = 0000004c | IR = add10000
T =  940.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000050 | IR = 21ef0004
T =  951.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000050 | IR = 21ef0004
T =  960.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000050 | IR = 21ef0004
T =  970.0 ps | State = FETCH  | Next State = DECODE | PC = 00000050 | IR = 21ef0004
T =  980.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000054 | IR = 21ce0004
T =  991.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000054 | IR = 21ce0004
T = 1000.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000054 | IR = 21ce0004
T = 1010.0 ps | State = FETCH  | Next State = DECODE | PC = 00000054 | IR = 21ce0004
T = 1020.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000058 | IR = 21adffff
T = 1031.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000058 | IR = 21adffff
T = 1040.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000058 | IR = 21adffff
T = 1050.0 ps | State = FETCH  | Next State = DECODE | PC = 00000058 | IR = 21adffff
T = 1060.0 ps | State = DECODE | Next State = R-Type | PC = 0000005c | IR = 15a0fffa
T = 1071.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000005c | IR = 15a0fffa
T = 1080.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000005c | IR = 15a0fffa
T = 1090.0 ps | State = FETCH  | Next State = DECODE | PC = 00000044 | IR = 15a0fffa
T = 1100.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000048 | IR = 8df10000
T = 1110.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000048 | IR = 8df10000
T = 1120.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000048 | IR = 8df10000
T = 1130.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000048 | IR = 8df10000
T = 1140.0 ps | State = FETCH  | Next State = DECODE | PC = 00000048 | IR = 8df10000
T = 1150.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000004c | IR = add10000
T = 1160.0 ps | State = SW     | Next State = WB_mem | PC = 0000004c | IR = add10000
T = 1170.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000004c | IR = add10000
T = 1180.0 ps | State = FETCH  | Next State = DECODE | PC = 0000004c | IR = add10000
T = 1190.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000050 | IR = 21ef0004
T = 1201.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000050 | IR = 21ef0004
T = 1210.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000050 | IR = 21ef0004
T = 1220.0 ps | State = FETCH  | Next State = DECODE | PC = 00000050 | IR = 21ef0004
T = 1230.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000054 | IR = 21ce0004
T = 1241.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000054 | IR = 21ce0004
T = 1250.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000054 | IR = 21ce0004
T = 1260.0 ps | State = FETCH  | Next State = DECODE | PC = 00000054 | IR = 21ce0004
T = 1270.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000058 | IR = 21adffff
T = 1281.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000058 | IR = 21adffff
T = 1290.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000058 | IR = 21adffff
T = 1300.0 ps | State = FETCH  | Next State = DECODE | PC = 00000058 | IR = 21adffff
T = 1310.0 ps | State = DECODE | Next State = R-Type | PC = 0000005c | IR = 15a0fffa
T = 1321.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000005c | IR = 15a0fffa
T = 1330.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000005c | IR = 15a0fffa
T = 1340.0 ps | State = FETCH  | Next State = DECODE | PC = 00000044 | IR = 15a0fffa
T = 1350.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000048 | IR = 8df10000
T = 1360.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000048 | IR = 8df10000
T = 1370.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000048 | IR = 8df10000
T = 1380.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000048 | IR = 8df10000
T = 1390.0 ps | State = FETCH  | Next State = DECODE | PC = 00000048 | IR = 8df10000
T = 1400.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000004c | IR = add10000
T = 1410.0 ps | State = SW     | Next State = WB_mem | PC = 0000004c | IR = add10000
T = 1420.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000004c | IR = add10000
T = 1430.0 ps | State = FETCH  | Next State = DECODE | PC = 0000004c | IR = add10000
T = 1440.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000050 | IR = 21ef0004
T = 1451.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000050 | IR = 21ef0004
T = 1460.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000050 | IR = 21ef0004
T = 1470.0 ps | State = FETCH  | Next State = DECODE | PC = 00000050 | IR = 21ef0004
T = 1480.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000054 | IR = 21ce0004
T = 1491.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000054 | IR = 21ce0004
T = 1500.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000054 | IR = 21ce0004
T = 1510.0 ps | State = FETCH  | Next State = DECODE | PC = 00000054 | IR = 21ce0004
T = 1520.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000058 | IR = 21adffff
T = 1531.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000058 | IR = 21adffff
T = 1540.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000058 | IR = 21adffff
T = 1550.0 ps | State = FETCH  | Next State = DECODE | PC = 00000058 | IR = 21adffff
T = 1560.0 ps | State = DECODE | Next State = R-Type | PC = 0000005c | IR = 15a0fffa
T = 1571.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000005c | IR = 15a0fffa
T = 1580.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000005c | IR = 15a0fffa
T = 1590.0 ps | State = FETCH  | Next State = DECODE | PC = 00000044 | IR = 15a0fffa
T = 1600.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000048 | IR = 8df10000
T = 1610.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000048 | IR = 8df10000
T = 1620.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000048 | IR = 8df10000
T = 1630.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000048 | IR = 8df10000
T = 1640.0 ps | State = FETCH  | Next State = DECODE | PC = 00000048 | IR = 8df10000
T = 1650.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000004c | IR = add10000
T = 1660.0 ps | State = SW     | Next State = WB_mem | PC = 0000004c | IR = add10000
T = 1670.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000004c | IR = add10000
T = 1680.0 ps | State = FETCH  | Next State = DECODE | PC = 0000004c | IR = add10000
T = 1690.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000050 | IR = 21ef0004
T = 1701.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000050 | IR = 21ef0004
T = 1710.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000050 | IR = 21ef0004
T = 1720.0 ps | State = FETCH  | Next State = DECODE | PC = 00000050 | IR = 21ef0004
T = 1730.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000054 | IR = 21ce0004
T = 1741.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000054 | IR = 21ce0004
T = 1750.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000054 | IR = 21ce0004
T = 1760.0 ps | State = FETCH  | Next State = DECODE | PC = 00000054 | IR = 21ce0004
T = 1770.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000058 | IR = 21adffff
T = 1781.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000058 | IR = 21adffff
T = 1790.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000058 | IR = 21adffff
T = 1800.0 ps | State = FETCH  | Next State = DECODE | PC = 00000058 | IR = 21adffff
T = 1810.0 ps | State = DECODE | Next State = R-Type | PC = 0000005c | IR = 15a0fffa
T = 1821.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000005c | IR = 15a0fffa
T = 1830.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000005c | IR = 15a0fffa
T = 1840.0 ps | State = FETCH  | Next State = DECODE | PC = 00000044 | IR = 15a0fffa
T = 1850.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000048 | IR = 8df10000
T = 1860.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000048 | IR = 8df10000
T = 1870.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000048 | IR = 8df10000
T = 1880.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000048 | IR = 8df10000
T = 1890.0 ps | State = FETCH  | Next State = DECODE | PC = 00000048 | IR = 8df10000
T = 1900.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000004c | IR = add10000
T = 1910.0 ps | State = SW     | Next State = WB_mem | PC = 0000004c | IR = add10000
T = 1920.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000004c | IR = add10000
T = 1930.0 ps | State = FETCH  | Next State = DECODE | PC = 0000004c | IR = add10000
T = 1940.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000050 | IR = 21ef0004
T = 1951.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000050 | IR = 21ef0004
T = 1960.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000050 | IR = 21ef0004
T = 1970.0 ps | State = FETCH  | Next State = DECODE | PC = 00000050 | IR = 21ef0004
T = 1980.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000054 | IR = 21ce0004
T = 1991.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000054 | IR = 21ce0004
T = 2000.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000054 | IR = 21ce0004
T = 2010.0 ps | State = FETCH  | Next State = DECODE | PC = 00000054 | IR = 21ce0004
T = 2020.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000058 | IR = 21adffff
T = 2031.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000058 | IR = 21adffff
T = 2040.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000058 | IR = 21adffff
T = 2050.0 ps | State = FETCH  | Next State = DECODE | PC = 00000058 | IR = 21adffff
T = 2060.0 ps | State = DECODE | Next State = R-Type | PC = 0000005c | IR = 15a0fffa
T = 2071.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000005c | IR = 15a0fffa
T = 2080.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000005c | IR = 15a0fffa
T = 2090.0 ps | State = FETCH  | Next State = DECODE | PC = 00000044 | IR = 15a0fffa
T = 2100.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000048 | IR = 8df10000
T = 2110.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000048 | IR = 8df10000
T = 2120.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000048 | IR = 8df10000
T = 2130.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000048 | IR = 8df10000
T = 2140.0 ps | State = FETCH  | Next State = DECODE | PC = 00000048 | IR = 8df10000
T = 2150.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000004c | IR = add10000
T = 2160.0 ps | State = SW     | Next State = WB_mem | PC = 0000004c | IR = add10000
T = 2170.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000004c | IR = add10000
T = 2180.0 ps | State = FETCH  | Next State = DECODE | PC = 0000004c | IR = add10000
T = 2190.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000050 | IR = 21ef0004
T = 2201.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000050 | IR = 21ef0004
T = 2210.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000050 | IR = 21ef0004
T = 2220.0 ps | State = FETCH  | Next State = DECODE | PC = 00000050 | IR = 21ef0004
T = 2230.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000054 | IR = 21ce0004
T = 2241.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000054 | IR = 21ce0004
T = 2250.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000054 | IR = 21ce0004
T = 2260.0 ps | State = FETCH  | Next State = DECODE | PC = 00000054 | IR = 21ce0004
T = 2270.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000058 | IR = 21adffff
T = 2281.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000058 | IR = 21adffff
T = 2290.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000058 | IR = 21adffff
T = 2300.0 ps | State = FETCH  | Next State = DECODE | PC = 00000058 | IR = 21adffff
T = 2310.0 ps | State = DECODE | Next State = R-Type | PC = 0000005c | IR = 15a0fffa
T = 2321.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000005c | IR = 15a0fffa
T = 2330.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000005c | IR = 15a0fffa
T = 2340.0 ps | State = FETCH  | Next State = DECODE | PC = 00000044 | IR = 15a0fffa
T = 2350.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000048 | IR = 8df10000
T = 2360.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000048 | IR = 8df10000
T = 2370.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000048 | IR = 8df10000
T = 2380.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000048 | IR = 8df10000
T = 2390.0 ps | State = FETCH  | Next State = DECODE | PC = 00000048 | IR = 8df10000
T = 2400.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000004c | IR = add10000
T = 2410.0 ps | State = SW     | Next State = WB_mem | PC = 0000004c | IR = add10000
T = 2420.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000004c | IR = add10000
T = 2430.0 ps | State = FETCH  | Next State = DECODE | PC = 0000004c | IR = add10000
T = 2440.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000050 | IR = 21ef0004
T = 2451.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000050 | IR = 21ef0004
T = 2460.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000050 | IR = 21ef0004
T = 2470.0 ps | State = FETCH  | Next State = DECODE | PC = 00000050 | IR = 21ef0004
T = 2480.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000054 | IR = 21ce0004
T = 2491.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000054 | IR = 21ce0004
T = 2500.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000054 | IR = 21ce0004
T = 2510.0 ps | State = FETCH  | Next State = DECODE | PC = 00000054 | IR = 21ce0004
T = 2520.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000058 | IR = 21adffff
T = 2531.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000058 | IR = 21adffff
T = 2540.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000058 | IR = 21adffff
T = 2550.0 ps | State = FETCH  | Next State = DECODE | PC = 00000058 | IR = 21adffff
T = 2560.0 ps | State = DECODE | Next State = R-Type | PC = 0000005c | IR = 15a0fffa
T = 2571.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000005c | IR = 15a0fffa
T = 2580.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000005c | IR = 15a0fffa
T = 2590.0 ps | State = FETCH  | Next State = DECODE | PC = 00000044 | IR = 15a0fffa
T = 2600.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000048 | IR = 8df10000
T = 2610.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000048 | IR = 8df10000
T = 2620.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000048 | IR = 8df10000
T = 2630.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000048 | IR = 8df10000
T = 2640.0 ps | State = FETCH  | Next State = DECODE | PC = 00000048 | IR = 8df10000
T = 2650.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000004c | IR = add10000
T = 2660.0 ps | State = SW     | Next State = WB_mem | PC = 0000004c | IR = add10000
T = 2670.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000004c | IR = add10000
T = 2680.0 ps | State = FETCH  | Next State = DECODE | PC = 0000004c | IR = add10000
T = 2690.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000050 | IR = 21ef0004
T = 2701.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000050 | IR = 21ef0004
T = 2710.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000050 | IR = 21ef0004
T = 2720.0 ps | State = FETCH  | Next State = DECODE | PC = 00000050 | IR = 21ef0004
T = 2730.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000054 | IR = 21ce0004
T = 2741.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000054 | IR = 21ce0004
T = 2750.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000054 | IR = 21ce0004
T = 2760.0 ps | State = FETCH  | Next State = DECODE | PC = 00000054 | IR = 21ce0004
T = 2770.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000058 | IR = 21adffff
T = 2781.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000058 | IR = 21adffff
T = 2790.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000058 | IR = 21adffff
T = 2800.0 ps | State = FETCH  | Next State = DECODE | PC = 00000058 | IR = 21adffff
T = 2810.0 ps | State = DECODE | Next State = R-Type | PC = 0000005c | IR = 15a0fffa
T = 2821.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 0000005c | IR = 15a0fffa
T = 2830.0 ps | State = BNE_2  | Next State = FETCH  | PC = 0000005c | IR = 15a0fffa
T = 2840.0 ps | State = FETCH  | Next State = DECODE | PC = 00000044 | IR = 15a0fffa
T = 2850.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000048 | IR = 8df10000
T = 2860.0 ps | State = LW_1   | Next State = LW_2   | PC = 00000048 | IR = 8df10000
T = 2870.0 ps | State = LW_2   | Next State = WB_lw   | PC = 00000048 | IR = 8df10000
T = 2880.0 ps | State = WB_lw  | Next State = FETCH  | PC = 00000048 | IR = 8df10000
T = 2890.0 ps | State = FETCH  | Next State = DECODE | PC = 00000048 | IR = 8df10000
T = 2900.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000004c | IR = add10000
T = 2910.0 ps | State = SW     | Next State = WB_mem | PC = 0000004c | IR = add10000
T = 2920.0 ps | State = WB_mem | Next State = FETCH  | PC = 0000004c | IR = add10000
T = 2930.0 ps | State = FETCH  | Next State = DECODE | PC = 0000004c | IR = add10000
T = 2940.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000050 | IR = 21ef0004
T = 2951.0 ps | State = ADDI   | Next State = WB_imm | PC = 00000050 | IR = 21ef0004
T = 2960.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000050 | IR = 21ef0004
T = 2970.0 ps | State = FETCH  | Next State = DECODE | PC = 00000050 | IR = 21ef0004
T = 2980.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000054 | IR = 21ce0004
