Vivado Simulator 2018.2
Time resolution is 1 ps
T =   30.0 ps | State = RESET  | Next State = FETCH  | PC = 00000000 | IR = 00000000
T =  260.0 ps | State = WB_imm | Next State = FETCH  | PC = 0040006c | IR = 2c23ff8b
T =  270.0 ps | State = FETCH  | Next State = DECODE | PC = 0040006c | IR = 2c23ff8b
T =  280.0 ps | State = DECODE | Next State = R-Type | PC = 00400070 | IR = 14600002
T =  291.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 00400070 | IR = 14600002
T =  300.0 ps | State = BNE_2  | Next State = FETCH  | PC = 00400070 | IR = 14600002
T =  310.0 ps | State = FETCH  | Next State = DECODE | PC = 00400078 | IR = 14600002
T =  320.0 ps | State = DECODE | Next State =I/J-Type| PC = 0040007c | IR = 200400c0
T =  331.0 ps | State = ADDI   | Next State = WB_imm | PC = 0040007c | IR = 200400c0
T =  340.0 ps | State = WB_imm | Next State = FETCH  | PC = 0040007c | IR = 200400c0
T =  350.0 ps | State = FETCH  | Next State = DECODE | PC = 0040007c | IR = 200400c0
T =  360.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400080 | IR = ade40000
T =  370.0 ps | State = SW     | Next State = WB_mem | PC = 00400080 | IR = ade40000
T =  380.0 ps | State = WB_mem | Next State = FETCH  | PC = 00400080 | IR = ade40000
T =  390.0 ps | State = FETCH  | Next State = DECODE | PC = 00400080 | IR = ade40000
T =  400.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400084 | IR = 2c23ff89
T =  411.0 ps | State = SLTIU  | Next State = WB_imm | PC = 00400084 | IR = 2c23ff89
T =  420.0 ps | State = WB_imm | Next State = FETCH  | PC = 00400084 | IR = 2c23ff89
T =  430.0 ps | State = FETCH  | Next State = DECODE | PC = 00400084 | IR = 2c23ff89
T =  440.0 ps | State = DECODE | Next State = R-Type | PC = 00400088 | IR = 10600002
T =  451.0 ps | State = BEQ_1  | Next State = BEQ_2  | PC = 00400088 | IR = 10600002
T =  460.0 ps | State = BEQ_2  | Next State = FETCH  | PC = 00400088 | IR = 10600002
T =  470.0 ps | State = FETCH  | Next State = DECODE | PC = 00400090 | IR = 10600002
T =  480.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400094 | IR = 200500c4
T =  491.0 ps | State = ADDI   | Next State = WB_imm | PC = 00400094 | IR = 200500c4
T =  500.0 ps | State = WB_imm | Next State = FETCH  | PC = 00400094 | IR = 200500c4
T =  510.0 ps | State = FETCH  | Next State = DECODE | PC = 00400094 | IR = 200500c4
T =  520.0 ps | State = DECODE | Next State =I/J-Type| PC = 00400098 | IR = ade50004
T =  530.0 ps | State = SW     | Next State = WB_mem | PC = 00400098 | IR = ade50004
T =  540.0 ps | State = WB_mem | Next State = FETCH  | PC = 00400098 | IR = ade50004
T =  550.0 ps | State = FETCH  | Next State = DECODE | PC = 00400098 | IR = ade50004
T =  560.0 ps | State = DECODE | Next State =I/J-Type| PC = 0040009c | IR = 2c23ff8a
T =  571.0 ps | State = SLTIU  | Next State = WB_imm | PC = 0040009c | IR = 2c23ff8a
T =  580.0 ps | State = WB_imm | Next State = FETCH  | PC = 0040009c | IR = 2c23ff8a
T =  590.0 ps | State = FETCH  | Next State = DECODE | PC = 0040009c | IR = 2c23ff8a
T =  600.0 ps | State = DECODE | Next State = R-Type | PC = 004000a0 | IR = 10600002
T =  611.0 ps | State = BEQ_1  | Next State = BEQ_2  | PC = 004000a0 | IR = 10600002
T =  620.0 ps | State = BEQ_2  | Next State = FETCH  | PC = 004000a0 | IR = 10600002
T =  630.0 ps | State = FETCH  | Next State = DECODE | PC = 004000a8 | IR = 10600002
T =  640.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000ac | IR = 200600c8
T =  651.0 ps | State = ADDI   | Next State = WB_imm | PC = 004000ac | IR = 200600c8
T =  660.0 ps | State = WB_imm | Next State = FETCH  | PC = 004000ac | IR = 200600c8
T =  670.0 ps | State = FETCH  | Next State = DECODE | PC = 004000ac | IR = 200600c8
T =  680.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000b0 | IR = ade60008
T =  690.0 ps | State = SW     | Next State = WB_mem | PC = 004000b0 | IR = ade60008
T =  700.0 ps | State = WB_mem | Next State = FETCH  | PC = 004000b0 | IR = ade60008
T =  710.0 ps | State = FETCH  | Next State = DECODE | PC = 004000b0 | IR = ade60008
T =  720.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000b4 | IR = 2c43008b
T =  731.0 ps | State = SLTIU  | Next State = WB_imm | PC = 004000b4 | IR = 2c43008b
T =  740.0 ps | State = WB_imm | Next State = FETCH  | PC = 004000b4 | IR = 2c43008b
T =  750.0 ps | State = FETCH  | Next State = DECODE | PC = 004000b4 | IR = 2c43008b
T =  760.0 ps | State = DECODE | Next State = R-Type | PC = 004000b8 | IR = 14600002
T =  771.0 ps | State = BNE_1  | Next State = BNE_2  | PC = 004000b8 | IR = 14600002
T =  780.0 ps | State = BNE_2  | Next State = FETCH  | PC = 004000b8 | IR = 14600002
T =  790.0 ps | State = FETCH  | Next State = DECODE | PC = 004000c0 | IR = 14600002
T =  800.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000c4 | IR = 200700cc
T =  811.0 ps | State = ADDI   | Next State = WB_imm | PC = 004000c4 | IR = 200700cc
T =  820.0 ps | State = WB_imm | Next State = FETCH  | PC = 004000c4 | IR = 200700cc
T =  830.0 ps | State = FETCH  | Next State = DECODE | PC = 004000c4 | IR = 200700cc
T =  840.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000c8 | IR = ade7000c
T =  850.0 ps | State = SW     | Next State = WB_mem | PC = 004000c8 | IR = ade7000c
T =  860.0 ps | State = WB_mem | Next State = FETCH  | PC = 004000c8 | IR = ade7000c
T =  870.0 ps | State = FETCH  | Next State = DECODE | PC = 004000c8 | IR = ade7000c
T =  880.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000cc | IR = 2c430089
T =  891.0 ps | State = SLTIU  | Next State = WB_imm | PC = 004000cc | IR = 2c430089
T =  900.0 ps | State = WB_imm | Next State = FETCH  | PC = 004000cc | IR = 2c430089
T =  910.0 ps | State = FETCH  | Next State = DECODE | PC = 004000cc | IR = 2c430089
T =  920.0 ps | State = DECODE | Next State = R-Type | PC = 004000d0 | IR = 10600002
T =  931.0 ps | State = BEQ_1  | Next State = BEQ_2  | PC = 004000d0 | IR = 10600002
T =  940.0 ps | State = BEQ_2  | Next State = FETCH  | PC = 004000d0 | IR = 10600002
T =  950.0 ps | State = FETCH  | Next State = DECODE | PC = 004000d8 | IR = 10600002
T =  960.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000dc | IR = 200800d0
T =  971.0 ps | State = ADDI   | Next State = WB_imm | PC = 004000dc | IR = 200800d0
T =  980.0 ps | State = WB_imm | Next State = FETCH  | PC = 004000dc | IR = 200800d0
T =  990.0 ps | State = FETCH  | Next State = DECODE | PC = 004000dc | IR = 200800d0
T = 1000.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000e0 | IR = ade80010
T = 1010.0 ps | State = SW     | Next State = WB_mem | PC = 004000e0 | IR = ade80010
T = 1020.0 ps | State = WB_mem | Next State = FETCH  | PC = 004000e0 | IR = ade80010
T = 1030.0 ps | State = FETCH  | Next State = DECODE | PC = 004000e0 | IR = ade80010
T = 1040.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000e4 | IR = 2c43008a
T = 1051.0 ps | State = SLTIU  | Next State = WB_imm | PC = 004000e4 | IR = 2c43008a
T = 1060.0 ps | State = WB_imm | Next State = FETCH  | PC = 004000e4 | IR = 2c43008a
T = 1070.0 ps | State = FETCH  | Next State = DECODE | PC = 004000e4 | IR = 2c43008a
T = 1080.0 ps | State = DECODE | Next State = R-Type | PC = 004000e8 | IR = 10600002
T = 1091.0 ps | State = BEQ_1  | Next State = BEQ_2  | PC = 004000e8 | IR = 10600002
T = 1100.0 ps | State = BEQ_2  | Next State = FETCH  | PC = 004000e8 | IR = 10600002
T = 1110.0 ps | State = FETCH  | Next State = DECODE | PC = 004000f0 | IR = 10600002
T = 1120.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000f4 | IR = 200600d4
T = 1131.0 ps | State = ADDI   | Next State = WB_imm | PC = 004000f4 | IR = 200600d4
T = 1140.0 ps | State = WB_imm | Next State = FETCH  | PC = 004000f4 | IR = 200600d4
T = 1150.0 ps | State = FETCH  | Next State = DECODE | PC = 004000f4 | IR = 200600d4
T = 1160.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000f8 | IR = ade60014
T = 1170.0 ps | State = SW     | Next State = WB_mem | PC = 004000f8 | IR = ade60014
T = 1180.0 ps | State = WB_mem | Next State = FETCH  | PC = 004000f8 | IR = ade60014
T = 1190.0 ps | State = FETCH  | Next State = DECODE | PC = 004000f8 | IR = ade60014
T = 1200.0 ps | State = DECODE | Next State =I/J-Type| PC = 004000fc | IR = 200e0000
T = 1211.0 ps | State = ADDI   | Next State = WB_imm | PC = 004000fc | IR = 200e0000
T = 1220.0 ps | State = WB_imm | Next State = FETCH  | PC = 004000fc | IR = 200e0000
T = 1230.0 ps | State = FETCH  | Next State = DECODE | PC = 004000fc | IR = 200e0000
T = 1240.0 ps | State = DECODE | Next State = R-Type | PC = 00400100 | IR = 03e00008
T = 1250.0 ps | State = JR_1   | Next State = JR_2   | PC = 00400100 | IR = 03e00008
T = 1260.0 ps | State = JR_2   | Next State = FETCH  | PC = 00400100 | IR = 03e00008
T = 1270.0 ps | State = FETCH  | Next State = DECODE | PC = 00000014 | IR = 03e00008
T = 1280.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000018 | IR = 3c0dffff
T = 1291.0 ps | State = LUI    | Next State = WB_imm | PC = 00000018 | IR = 3c0dffff
T = 1300.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000018 | IR = 3c0dffff
T = 1310.0 ps | State = FETCH  | Next State = DECODE | PC = 00000018 | IR = 3c0dffff
T = 1320.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000001c | IR = 35ad5555
T = 1331.0 ps | State = ORI    | Next State = WB_imm | PC = 0000001c | IR = 35ad5555
T = 1340.0 ps | State = WB_imm | Next State = FETCH  | PC = 0000001c | IR = 35ad5555
T = 1350.0 ps | State = FETCH  | Next State = DECODE | PC = 0000001c | IR = 35ad5555
T = 1360.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000020 | IR = 3c0cffff
T = 1371.0 ps | State = LUI    | Next State = WB_imm | PC = 00000020 | IR = 3c0cffff
T = 1380.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000020 | IR = 3c0cffff
T = 1390.0 ps | State = FETCH  | Next State = DECODE | PC = 00000020 | IR = 3c0cffff
T = 1400.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000024 | IR = 358cfaf5
T = 1411.0 ps | State = ORI    | Next State = WB_imm | PC = 00000024 | IR = 358cfaf5
T = 1420.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000024 | IR = 358cfaf5
T = 1430.0 ps | State = FETCH  | Next State = DECODE | PC = 00000024 | IR = 358cfaf5
T = 1440.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000028 | IR = 3c0bffff
T = 1451.0 ps | State = LUI    | Next State = WB_imm | PC = 00000028 | IR = 3c0bffff
T = 1460.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000028 | IR = 3c0bffff
T = 1470.0 ps | State = FETCH  | Next State = DECODE | PC = 00000028 | IR = 3c0bffff
T = 1480.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000002c | IR = 356bffff
T = 1491.0 ps | State = ORI    | Next State = WB_imm | PC = 0000002c | IR = 356bffff
T = 1500.0 ps | State = WB_imm | Next State = FETCH  | PC = 0000002c | IR = 356bffff
T = 1510.0 ps | State = FETCH  | Next State = DECODE | PC = 0000002c | IR = 356bffff
T = 1520.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000030 | IR = 3c0a0000
T = 1531.0 ps | State = LUI    | Next State = WB_imm | PC = 00000030 | IR = 3c0a0000
T = 1540.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000030 | IR = 3c0a0000
T = 1550.0 ps | State = FETCH  | Next State = DECODE | PC = 00000030 | IR = 3c0a0000
T = 1560.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000034 | IR = 354af0f0
T = 1571.0 ps | State = ORI    | Next State = WB_imm | PC = 00000034 | IR = 354af0f0
T = 1580.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000034 | IR = 354af0f0
T = 1590.0 ps | State = FETCH  | Next State = DECODE | PC = 00000034 | IR = 354af0f0
T = 1600.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000038 | IR = 39a9aaaa
T = 1610.0 ps | State = XORI   | Next State = WB_imm | PC = 00000038 | IR = 39a9aaaa
T = 1620.0 ps | State = WB_imm | Next State = FETCH  | PC = 00000038 | IR = 39a9aaaa
T = 1630.0 ps | State = FETCH  | Next State = DECODE | PC = 00000038 | IR = 39a9aaaa
T = 1640.0 ps | State = DECODE | Next State = R-Type | PC = 0000003c | IR = 012b4022
T = 1651.0 ps | State = SUB    | Next State = WB_alu | PC = 0000003c | IR = 012b4022
T = 1660.0 ps | State = WB_alu | Next State = FETCH  | PC = 0000003c | IR = 012b4022
T = 1670.0 ps | State = FETCH  | Next State = DECODE | PC = 0000003c | IR = 012b4022
T = 1680.0 ps | State = DECODE | Next State = R-Type | PC = 00000040 | IR = 11000002
T = 1691.0 ps | State = BEQ_1  | Next State = BEQ_2  | PC = 00000040 | IR = 11000002
T = 1700.0 ps | State = BEQ_2  | Next State = FETCH  | PC = 00000040 | IR = 11000002
T = 1710.0 ps | State = FETCH  | Next State = DECODE | PC = 00000048 | IR = 11000002
T = 1720.0 ps | State = DECODE | Next State =I/J-Type| PC = 0000004c | IR = 3187f5fa
T = 1731.0 ps | State = ANDI   | Next State = WB_imm | PC = 0000004c | IR = 3187f5fa
T = 1740.0 ps | State = WB_imm | Next State = FETCH  | PC = 0000004c | IR = 3187f5fa
T = 1750.0 ps | State = FETCH  | Next State = DECODE | PC = 0000004c | IR = 3187f5fa
T = 1760.0 ps | State = DECODE | Next State = R-Type | PC = 00000050 | IR = 00ea4022
T = 1771.0 ps | State = SUB    | Next State = WB_alu | PC = 00000050 | IR = 00ea4022
T = 1780.0 ps | State = WB_alu | Next State = FETCH  | PC = 00000050 | IR = 00ea4022
T = 1790.0 ps | State = FETCH  | Next State = DECODE | PC = 00000050 | IR = 00ea4022
T = 1800.0 ps | State = DECODE | Next State = R-Type | PC = 00000054 | IR = 11000002
T = 1811.0 ps | State = BEQ_1  | Next State = BEQ_2  | PC = 00000054 | IR = 11000002
T = 1820.0 ps | State = BEQ_2  | Next State = FETCH  | PC = 00000054 | IR = 11000002
T = 1830.0 ps | State = FETCH  | Next State = DECODE | PC = 0000005c | IR = 11000002
T = 1840.0 ps | State = DECODE | Next State =I/J-Type| PC = 00000060 | IR = ade10018
T = 1850.0 ps | State = SW     | Next State = WB_mem | PC = 00000060 | IR = ade10018
T = 1860.0 ps | State = WB_mem | Next State = FETCH  | PC = 00000060 | IR = ade10018
T = 1870.0 ps | State = FETCH  | Next State = DECODE | PC = 00000060 | IR = ade10018
T = 1880.0 ps | State = DECODE | Next State = R-Type | PC = 00000064 | IR = 0000000d
BREAK INSTRUCTION FETCHED 1885.0 ps
 
D i s p l a y i n g   C o n t e n t s   o f   R e g f i l e
R [  0 ]   =   00000000    |   R [         16 ]   =   xxxxxxxx
R [  1 ]   =   ffffff8a    |   R [         17 ]   =   xxxxxxxx
R [  2 ]   =   0000008a    |   R [         18 ]   =   xxxxxxxx
R [  3 ]   =   00000000    |   R [         19 ]   =   xxxxxxxx
R [  4 ]   =   000000c0    |   R [         20 ]   =   xxxxxxxx
R [  5 ]   =   000000c4    |   R [         21 ]   =   xxxxxxxx
R [  6 ]   =   000000d4    |   R [         22 ]   =   xxxxxxxx
R [  7 ]   =   0000f0f0    |   R [         23 ]   =   xxxxxxxx
R [  8 ]   =   00000000    |   R [         24 ]   =   xxxxxxxx
R [  9 ]   =   ffffffff    |   R [         25 ]   =   xxxxxxxx
R [ 10 ]   =   0000f0f0    |   R [         26 ]   =   xxxxxxxx
R [ 11 ]   =   ffffffff    |   R [         27 ]   =   xxxxxxxx
R [ 12 ]   =   fffffaf5    |   R [         28 ]   =   xxxxxxxx
R [ 13 ]   =   ffff5555    |   R [         29 ]   =   00000000
R [ 14 ]   =   00000000    |   R [         30 ]   =   xxxxxxxx
R [ 15 ]   =   100100c0    |   R [         31 ]   =   00000014
 
D i s p l a y i n g   C o n t e n t s   o f   D a t a   M e m o r y
d M e m [ 0c0 ]   =   0x000000c0
d M e m [ 0c4 ]   =   0x000000c4
d M e m [ 0c8 ]   =   0x000000c8
d M e m [ 0cc ]   =   0x000000cc
d M e m [ 0d0 ]   =   0x000000d0
d M e m [ 0d4 ]   =   0x000000d4
d M e m [ 0d8 ]   =   0xffffff8a
d M e m [ 0dc ]   =   0xxxxxxxxx
d M e m [ 0e0 ]   =   0xxxxxxxxx
d M e m [ 0e4 ]   =   0xxxxxxxxx
d M e m [ 0e8 ]   =   0xxxxxxxxx
d M e m [ 0ec ]   =   0xxxxxxxxx
d M e m [ 0f0 ]   =   0xxxxxxxxx
d M e m [ 0f4 ]   =   0xxxxxxxxx
d M e m [ 0f8 ]   =   0xxxxxxxxx
d M e m [ 0fc ]   =   0xxxxxxxxx
$finish called at time : 1890 ns : File "C:/Users/Jesus Luciano/Desktop/MIPS_CPU/Execution_Unit_modified/Execution_Unit.srcs/sources_1/new/MCU.v" Line 929
